country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,8,6.84E+18,
,,12624548,,0,4,1.00E+19,
,,12624549,,0,20,7.50E+18,
,,12624549,,0,4,6.34E+18,
US,4/3/17,12624548,3.41E+18,14.99,8,9.41E+18,GAMES
US,4/3/17,12624548,5.26E+18,14.99,8,9.41E+18,GAMES
US,4/5/17,12624548,5.50E+18,14.99,8,9.41E+18,GAMES
,,12624549,,0,3,7.00E+18,
US,4/6/17,12624548,4.15E+18,1.99,20,8.39E+18,GAMES
US,4/6/17,12624548,1.15E+19,1.99,20,8.39E+18,GAMES
,,12624548,,0,10,6.73E+18,
,,12624549,,0,18,6.41E+18,
,,12624548,,0,16,9.59E+18,
,,12624549,,0,17,3.98E+18,
GB,4/5/17,12624549,1.80E+19,0.773608,9,4.30E+18,GAMES
,,12624548,,0,10,1.82E+18,
,,12624549,,0,2,1.32E+19,
,,12624548,,0,5,1.31E+19,
,,12624549,,0,9,1.94E+18,
,,12624548,,0,5,1.67E+19,
,,12624549,,0,8,1.77E+19,
,,12624548,,0,8,2.81E+17,
,,12624549,,0,10,1.56E+19,
,,12624548,,0,4,8.21E+18,
,,12624549,,0,9,7.44E+17,
,,12624548,,0,17,8.99E+18,
,,12624549,,0,11,1.76E+19,
ID,4/2/17,12624549,2.87E+18,1.022607,1,1.05E+17,GAMES
,,12624549,,0,7,1.48E+19,
ES,4/2/17,12624549,1.92E+17,1.270033,13,4.79E+18,GAMES
,,12624549,,0,15,1.57E+19,
,,12624548,,0,1,1.36E+19,
,,12624549,,0,14,3.89E+18,
,,12624548,,0,19,2.49E+18,
FR,4/5/17,12624549,6.48E+18,41.597791,3,5.48E+18,GAMES
FR,4/3/17,12624549,3.66E+18,10.65427,3,5.48E+18,GAMES
JP,4/3/17,12624548,1.51E+19,2.160492,11,1.40E+19,GAMES
AT,4/1/17,12624549,6.85E+18,9.594622,9,1.46E+19,GAMES
AT,4/1/17,12624549,7.43E+18,9.594622,9,1.46E+19,GAMES
JP,4/1/17,12624549,2.07E+18,4.303694,14,6.74E+18,GAMES
